model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Model 1 - MultinomialNB (TF-IDF),0.9892093023255814,0.9893517374911935,0.9892284547142168,0.9891952071123917,0.989337823627094,0.9892093023255814,0.9891784921092808
Model 2 - LinearSVC (TF-IDF),0.9923720930232558,0.9924302741050576,0.992391587567467,0.9923832854099554,0.9924239965895141,0.9923720930232558,0.9923703574961209
